CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2019;Huesca;Máster: Ingeniería Agronómica;Máster;Abandono Voluntario;Hombres;0;2;1;0;;;12/09/2021
2019;Huesca;Máster: Ingeniería Agronómica;Máster;Graduado;Hombres;5;0;0;0;2.67;93.55;12/09/2021
2019;Huesca;Máster: Ingeniería Agronómica;Máster;Graduado;Mujeres;3;0;0;0;2.00;91.84;12/09/2021
2019;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Hombres;22;0;0;0;1.10;98.51;12/09/2021
2019;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Mujeres;9;0;0;0;1.11;98.18;12/09/2021
2019;Teruel;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;13;8;0;;;12/09/2021
2019;Teruel;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;4;0;0;;;12/09/2021
2019;Teruel;Grado: Administración y Dirección de Empresas;Grado;Graduado;Hombres;15;0;0;0;6.77;77.03;12/09/2021
2019;Teruel;Grado: Administración y Dirección de Empresas;Grado;Graduado;Mujeres;16;0;0;0;5.69;89.03;12/09/2021
2019;Teruel;Grado: Administración y Dirección de Empresas;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;12/09/2021
2019;Teruel;Grado: Administración y Dirección de Empresas;Grado;Traslado a otra Universidad;Mujeres;0;0;0;4;;;12/09/2021
2019;Teruel;Grado: Bellas Artes;Grado;Abandono Voluntario;Hombres;0;3;1;0;;;12/09/2021
2019;Teruel;Grado: Bellas Artes;Grado;Abandono Voluntario;Mujeres;0;7;2;0;;;12/09/2021
