CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2021;Facultad de Ciencias Humanas y de la Educación;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;4;0;;;0;0;;0;;0;84.00;0.00;;;;;;;16/04/2023
2021;Facultad de Empresa y Gestión Pública;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;23;0;;;0;0;;0;;0;678.00;0.00;;;;;;;16/04/2023
2021;Facultad de Ciencias de la Salud y del Deporte;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;18;0;;;0;0;;0;;0;537.00;0.00;;;;;;;16/04/2023
2021;Escuela Universitaria de Enfermería San Jorge de Huesca;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;3;0;;;0;0;;0;;0;108.00;0.00;;100.00;100.00;;;;16/04/2023
2021;Facultad de Ciencias Sociales y Humanas de Teruel;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;59;0;;;0;0;;0;;0;2043.00;0.00;;100.00;100.00;;;;16/04/2023
2021;Escuela Universitaria Politécnica de Teruel;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;5;0;;;0;0;;0;;0;155.00;0.00;;;;;;;16/04/2023
2021;Facultad de Economía y Empresa;5-Licenciado en Economía;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Ciencias Sociales y del Trabajo;6-Relaciones Laborales;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Filosofía y Letras;5-Historia del Arte;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Escuela Universitaria Politécnica de Teruel;6-Ingeniero Técnico en Informática de Gestión;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;6-Ingeniero Técnico Industrial, Esp. Electricidad;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Ciencias;5-Licenciado en Matemáticas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Ciencias;2-Biología Molecular y Celular;Máster;20;18;30;16;0;0;0;0;1;0;1080.00;0.00;1.00;100.00;93.33;100.00;;;16/04/2023
2021;Facultad de Ciencias;2-Física y Tecnologías Físicas;Máster;13;13;30;13;0;0;0;0;3;1;780.00;0.00;1.00;100.00;100.00;100.00;;;16/04/2023
2021;Facultad de Filosofía y Letras;2-Gestión del Patrimonio Cultural;Máster;29;22;35;24;0;0;0;0;3;0;1432.00;0.00;1.50;98.83;94.41;93.75;;;16/04/2023
2021;Facultad de Filosofía y Letras;2-Tec.Información Geográfica para Ordenación Territorio: Sig/Teled;Máster;26;19;25;14;0;0;0;0;;0;1252.00;0.00;1.14;100.00;88.50;91.76;;;16/04/2023
2021;Facultad de Ciencias de la Salud;2-Gerontología Social;Máster;36;35;36;30;0;0;0;0;;0;2112.00;0.00;1.00;100.00;96.59;100.00;;;16/04/2023
2021;Facultad de Ciencias Sociales y del Trabajo;2-Relaciones de Género;Máster;33;28;30;23;0;0;0;0;;0;1740.00;0.00;1.04;100.00;93.10;99.14;;;16/04/2023
2021;Facultad de Economía y Empresa;2-Contabilidad y Finanzas;Máster;20;11;27;9;0;0;0;0;1;0;782.00;0.00;1.67;98.48;84.16;81.82;;;16/04/2023
2021;Facultad de Economía y Empresa;2-Economía;Máster;17;13;30;6;0;0;0;0;1;1;795.00;0.00;1.50;98.40;71.32;86.96;;;16/04/2023
2021;Facultad de Medicina;2-Iniciación a la investigación en Medicina;Máster;66;62;60;58;0;0;0;43;;0;3569.00;215.00;1.05;100.00;96.41;98.55;;;16/04/2023
2021;Facultad de Veterinaria;2-Nutrición animal;Máster;;;;0;;;0;;;;;;;;;;;;16/04/2023
